Project Id,Camera id,Make,Model,Serial Number,Year Purchased
BOL-015,Bol-015-C0001,Reconyx,HC500 Hyperfire semi-covert,H00123456,2010
BOL-015,Bol-015-C0002,Reconyx,HC500 Hyperfire semi-covert,H00123457,2010
BOL-015,Bol-015-C0003,Reconyx,HC500 Hyperfire semi-covert,H00123458,2010
BOL-015,Bol-015-C0004,Reconyx,HC500 Hyperfire semi-covert,H00123459,2010
BOL-015,Bol-015-C0005,Reconyx,HC500 Hyperfire semi-covert,H00123460,2010
BOL-015,Bol-015-C0006,Reconyx,HC500 Hyperfire semi-covert,H00123461,2010
BOL-015,Bol-015-C0007,Reconyx,HC500 Hyperfire semi-covert,H00123462,2010
BOL-015,Bol-015-C0008,Reconyx,HC500 Hyperfire semi-covert,H00123463,2010
BOL-015,Bol-015-C0009,Reconyx,HC500 Hyperfire semi-covert,H00123464,2010
BOL-015,Bol-015-C0010,Reconyx,HC500 Hyperfire semi-covert,H00123465,2010
