Deployment ID,Longitude Resolution,Latitude Resolution,Camera Deployment Begin Date,Camera Deployment End Date,Bait Type  ,Bait Description,Feature Type,Feature Type methodology,Camera Id,Quiet Period Setting (in seconds),Restriction on Access (Yes/No only),Camera Failure Details,,,,
Unique name of camera deployment,"Longitude of camera site, minimum 5 decimal places","Latitude of camera site, minimum 5 decimal places",Date of camera setup,Date of camera pickup or last picture whichever comes first,Type of bait that was used with camera; standardized list with No Bait and Other Bait options ,Text field to describe baiting method and Other Bait type if necessary,Describes a feature that the camera was set up on or near; standardized list with not entered and other option,Text field to explain Other feature type,Unique ID for each camera across deployments,The length of time before the camera will take another picture,,Details the status of the camera after the named deployment; standardized list,,,,
BOL-015-D0001,-68.908179,-13.496132,2011/10/01 16:39:59,2011/11/13 07:43:46,Scent,Calvin Klein,"Road, Paved",,BOL-015-C0002,15,No,Functioning,No bait,Not Entered,Functioning,
BOL-015-D0002,-68.908179,-13.496132,2011/10/12 16:38:13,2011/11/13 07:44:10,Scent,Calvin Klein,"Road, Paved",,BOL-015-C0003,15,No,Wildlife Damage,Other Bait,"Road, Paved",Wildlife Damage,
BOL-015-D0003,-68.909785,-13.478147,2011/10/12 13:30:04,2011/11/12 13:42:17,Scent,Calvin Klein,"Trail, hiking/people",,BOL-015-C0004,15,No,Functioning,Acoustic,"Road, dirt",Camera Hardware Failure,
BOL-015-D0004,-68.909785,-13.478147,2011/10/07 17:06:46,2011/11/12 13:42:16,Scent,Calvin Klein,"Trail, game",,BOL-015-C0005,15,No,Functioning,Visual,"Trail, hiking/people",Memory Card/Film Failure,
BOL-015-D0005,-68.902705,-13.461443,2011/10/14 16:57:29,2011/11/12 13:00:22,Scent,Calvin Klein,"Trail, game",,BOL-015-C0006,15,No,Unknown failure,Meat,"Trail, game",Vandalism/Theft,
BOL-015-D0006,-68.902705,-13.461443,2011/10/14 10:11:45,2011/11/12 13:00:26,Scent,Calvin Klein,"Trail, game",,BOL-015-C0007,15,No,Functioning,Scent,Road underpass/overpass/bridge,Unknown failure,
BOL-015-D0007,-68.903719,-13.443187,2011/10/12 10:42:20,2011/11/14 11:53:54,Scent,Calvin Klein,"Trail, game",,BOL-015-C0008,15,No,Functioning,,Culvert ,,
BOL-015-D0008,-68.903719,-13.443187,2011/10/12 13:29:47,2011/11/14 11:53:36,Scent,Calvin Klein,Not Entered,,BOL-015-C0009,15,No,Functioning,,Burrow,,
BOL-015-D0009,-68.893601,-13.428037,2011/10/12 09:01:27,2011/11/14 13:50:31,Scent,Calvin Klein,Other,mounted in tree,BOL-015-C0010,15,Yes,Functioning,,Nest Site,,
BOL-015-D0010,-68.893601,-13.428037,2011/10/12 09:02:20,2011/11/14 13:51:31,Scent,Calvin Klein,"Trail, hiking/people",,BOL-015-C0011,15,No,Functioning,,Carcass,,
,,,,,,,,,,,,,,Water source/spring,,
,,,,,,,,,,,,,,Fruiting tree,,
,,,,,,,,,,,,,,Other,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
