BINOMIAL,CITATION,CLASS,ORDER,FAMILY,GENUS,TSN,IUCN_ID,COMMON,IUCN_STATUS
Reptile species, ,REPTILIA, , , ,64,64,Reptile species,NE
Unknown Animal, ,MAMMALIA, , , ,2,2,Unknown Animal,NE
Potamogale velox,IUCN (International Union for Conservation of Nature),MAMMALIA,AFROSORICIDA,TENRECIDAE,Potamogale,633511,18095,Giant Otter-shrew,LC
Tenrec ecaudatus,IUCN (International Union for Conservation of Nature),MAMMALIA,AFROSORICIDA,TENRECIDAE,Tenrec,633515,40595,Common Tenrec,LC
Bos taurus, ,MAMMALIA,ARTIODACTYLA,BOVIDAE,Bos,183838,15,Domestic Cow,NE
Unknown Large Weasel_Badger_Otter, ,MAMMALIA,CARNIVORA, , ,16,16,Unknown Large Weasel_Badger_Otter,NE
Unknown Small Weasel, ,MAMMALIA,CARNIVORA, , ,17,17,Unknown Small Weasel,NE
Unknown Mongoose, ,MAMMALIA,CARNIVORA, , ,55,55,Unknown Mongoose,NE
Unknown Civet_Genet_Linsang, ,MAMMALIA,CARNIVORA, , ,61,61,Unknown Civet_Genet_Linsang,NE
Ailurus fulgens,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,AILURIDAE,Ailurus,621846,714,Red Panda,VU
Unknown Canid, ,MAMMALIA,CARNIVORA,CANIDAE, ,180594,19,Unknown Canid,NE
Alopex lagopus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Alopex,180602,899,Arctic Fox,LC
Atelocynus microtis,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Atelocynus,552773,6924,Short-eared Dog,NT
Canis familiaris, ,MAMMALIA,CARNIVORA,CANIDAE,Canis,183815,18,Domestic Dog,NE
Canis aureus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Canis,183817,3744,Golden Jackal,LC
Canis latrans,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Canis,180599,3745,Coyote,LC
Canis lupus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Canis,180596,3746,Gray Wolf,LC
Canis rufus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Canis,180600,3747,Red Wolf,CR
Canis simensis,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Canis,621851,3748,Ethiopian Wolf,EN
Canis adustus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Canis,183819,3753,Side-striped Jackal,LC
Canis mesomelas,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Canis,183818,3755,Black-backed Jackal,LC
Cerdocyon thous,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Cerdocyon,183825,4248,Crab-eating Fox,LC
Chrysocyon brachyurus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Chrysocyon,183827,4819,Maned Wolf,NT
Cuon alpinus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Cuon,183831,5953,Dhole,EN
Lycaon pictus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Lycaon,183833,12436,African Wild Dog,EN
Nyctereutes procyonoides,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Nyctereutes,183821,14925,Racoon Dog,LC
Otocyon megalotis,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Otocyon,183835,15642,Bat-eared Fox,LC
Pseudalopex sechurae,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Pseudalopex,621856,6925,Sechura Fox,NT
Pseudalopex vetulus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Pseudalopex,621857,6926,Hoary Fox,LC
Pseudalopex griseus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Pseudalopex,621854,6927,South American Grey Fox,LC
Pseudalopex gymnocercus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Pseudalopex,621855,6928,Pampas Fox,LC
Pseudalopex culpaeus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Pseudalopex,621853,6929,Culpeo,LC
Pseudalopex fulvipes,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Pseudalopex,726271,41586,Darwin's Fox,CR
Speothos venaticus,IUCN (International Union for Conservation of Nature),MAMMALIA,CARNIVORA,CANIDAE,Speothos,183829,20468,Bush Dog,NT
